originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
Competitive Suppression,394.977897640511,-218.397695650132,-207.767647269458,434.920609821015,-308.999286997536,-205.345770613217,337.875684636338,-186.032139933826,-179.737854111871,433.796592363534,-239.441658346238,-230.787622659063,396.268023162887,-243.717256678115,-184.198846626462,451.132498318805,-269.27118657679,-215.116845346945,481.520052639434,-239.619525902478,-233.798871656944,623.728991472477,-461.086341126206,-256.348374149877
Direct Suppression,364.240914967022,-202.106804538549,-191.810311449991,420.852822623319,-269.214642377287,-194.704293918044,431.231744040163,-235.807758334777,-225.342114383573,346.608020894937,-194.774611721512,-184.141216790266,488.01843016886,-270.768591274995,-225.966418730851,405.687492703954,-253.240782332581,-187.58726341906,590.10092970685,-296.013300279172,-288.381723939115,481.516517611143,-242.127656971424,-193.425051395192
Generalized Competitive Suppression,404.929407092813,-233.639611212534,-216.485925893298,368.371423128658,-203.120242469775,-186.668611990519,311.332704280099,-181.277397320975,-169.181493244224,444.163782710514,-253.113369559392,-236.747459839866,276.106762340538,-175.242974675608,-140.16239223606,384.654775279128,-219.418585597899,-192.969252627375,433.854066285188,-214.96942739152,-211.642557539525,609.713342759826,-408.142405088978,-248.431523193535
Generalized Direct Suppression,316.085578786625,-170.746985169446,-165.906740884749,199.449664631581,-136.023006976155,-103.466852211003,347.238875295311,-187.675962498463,-184.058206373484,355.171180947554,-188.696845476922,-184.836462771897,322.382932194956,-194.091909387194,-159.886505021979,177.891072632358,-128.491565181052,-99.0647347662598,521.232110275973,-257.139169042165,-253.517871357662,561.518624684104,-468.480015132028,-197.951888625239
ROE Competitive Suppression,577.814225901466,-305.731747598209,-300.090840529413,596.709101426524,-368.322097628751,-293.497615320986,531.105200715896,-281.820767224028,-276.486794957664,594.825678625269,-314.60225605095,-309.581471817759,571.793481031142,-371.69108533627,-280.107216333405,594.584610871147,-338.916767379511,-293.719453234496,595.501590798702,-297.594312268963,-290.810128721055,696.383036942495,-374.127156624412,-316.825000707111
ROE Direct Suppression,582.012474226463,-335.167818609398,-334.523004148285,633.892400079932,-382.293037370126,-327.257189477535,612.024945168254,-362.887853826374,-345.85659439037,570.48236239854,-324.864225052232,-328.359952027422,669.573638055272,-404.3808774842,-342.386179489666,623.276078082845,-392.997042236887,-320.437430507698,706.550870053567,-392.643842406395,-365.637714632935,648.593852092289,-365.512651321002,-334.498916248413
OML,306.826941835417,-163.960633271859,-162.069184537636,356.332813016182,-221.821947710173,-168.104586557394,390.608813024481,-216.295448363846,-208.674815620327,347.239344460846,-184.165594528048,-181.570148810683,441.817651311558,-285.947867474482,-210.134053677167,385.898823210918,-258.762632158768,-180.778373746548,568.333646938277,-290.507497027542,-277.587694808112,563.670606578105,-457.216212201902,-195.554235413356
GML,323.466135016357,-178.959327346702,-169.417440374237,196.993690548113,-117.481769851549,-106.834565454862,345.609992361688,-187.423296847348,-181.60365594141,375.488013797967,-206.677532365758,-196.632908210875,318.440520343996,-181.964711259259,-154.924207771078,219.415981018187,-158.130293844469,-121.506758970735,518.401317867052,-254.382201555451,-252.111594181574,598.098756186106,-674.239929936915,-217.131785475835
Competitive Suppression,364.316751608296,-196.759036938868,-192.376927029921,382.656481056969,-218.229260906583,-178.715704992557,302.277400429712,-181.556472476609,-162.479083739023,404.49792658744,-218.237810082616,-213.208103708234,339.151565258775,-195.512932301365,-161.30114356161,403.364062936353,-242.726651784373,-190.105937252295,479.722326022565,-235.416496891059,-231.764357443761,625.393073797938,-414.037547993173,-226.657032939324
Direct Suppression,341.094230541342,-193.182994553104,-181.917844151846,384.215338702988,-267.501454993174,-185.145832319152,420.887837263598,-227.948259354463,-220.373210412099,329.404210518189,-213.271466545347,-178.016181455153,482.102722082303,-276.679701539562,-221.102033088216,374.783070473709,-277.697384717168,-182.110528602246,581.783819228872,-295.73908483039,-285.268445977255,466.21064735879,-365.833162733676,-181.930627078166
